UF;CASOS
ES;1581
ES;4240
ES;1387
ES;2595
ES;3519
ES;1242
ES;2541
ES;800
ES;24757
ES;897
ES;6566
ES;3175
ES;1985
ES;3001
ES;1571
ES;606
ES;2717
ES;1868
ES;5355
ES;2363
ES;2154
ES;3291
ES;2571
ES;586
ES;2039
ES;2419
ES;1496
ES;1081
ES;5145
ES;4072
ES;1313
ES;6431
ES;936
ES;11776
ES;1683
ES;64057
ES;3081
ES;2355
ES;4342
ES;8020
ES;1004
ES;2997
ES;62287
ES;54008
MA;5164
MA;179
MA;674
MA;306
MA;975
MA;318
MA;1152
MA;1906
MA;851
MA;172
MA;1576
MA;893
MA;829
MA;499
MA;806
MA;651
MA;1281
MA;681
MA;191
MA;4905
MA;321
MA;549
MA;117
MA;9592
MA;425
MA;5668
MA;2064
MA;213
MA;400
MA;296
MA;276
MA;292
MA;15
MA;1392
MA;3081
MA;461
MA;886
MA;295
MA;752
MA;1395
MA;3254
MA;441
MA;281
MA;97
MA;228
MA;1038
MA;108
MA;812
MA;634
MA;825
MA;874
MA;10650
MA;201
MA;44
MA;465
MA;982
MA;4361
MA;525
MA;2791
MA;1619
MA;2978
MA;221
MA;3047
MA;1346
MA;564
MA;1202
MA;735
MA;896
MA;3396
MA;1455
MA;847
MA;1236
MA;1174
MA;1460
MA;144
MA;969
MA;402
MA;615
MA;830
MA;260
MA;740
MA;839
MA;124
MA;4736
MA;367
MA;1565
MA;259
MA;714
MA;1608
MA;16389
MA;881
MA;2744
MA;805
MA;91
MA;1131
MA;695
MA;585
MA;310
MA;2603
MA;517
MA;587
MA;739
MA;1685
MA;263
MA;373
MA;1079
MA;713
MA;531
MA;505
MA;541
MA;231
MA;618
MA;350
MA;384
MA;983
MA;239
MA;240
MA;891
MA;1073
MA;262
MA;2097
MA;771
MA;320
MA;812
MA;335
MA;112
MA;468
MA;816
MA;660
MA;828
MA;175
MA;977
MA;999
MA;1293
MA;770
MA;214
MA;1061
MA;3766
MA;113
MA;471
MA;286
MA;953
MA;1411
MA;2939
MA;1733
MA;616
MA;1673
MA;1647
MA;232
MA;2099
MA;113
MA;335
MA;204
MA;293
MA;82
MA;1374
MA;1829
MA;451
MA;501
MA;389
MA;50
MA;2030
MA;7944
MA;4838
MA;881
MA;501
MA;743
MA;208
MA;239
MA;1364
MA;1495
MA;835
MA;1062
MA;232
MA;2405
MA;260
MA;481
MA;410
MA;194
MA;525
MA;333
MA;1096
MA;2411
MA;2493
MA;581
MA;41422
MA;1122
MA;1988
MA;585
MA;398
MA;1955
MA;129
MA;403
MA;220
MA;307
MA;463
MA;304
MA;206
MA;1686
MA;231
MA;215
MA;907
MA;542
MA;6014
MA;1350
MA;248
MA;1974
MA;322
MA;621
MA;1296
MA;1729
MA;1522
MA;325
MA;581
MA;1658
MA;2178
MA;5138
MG;425
MG;1184
MG;1054
MG;223
MG;743
MG;509
MG;169
MG;599
MG;899
MG;402
MG;1891
MG;283
MG;439
MG;225
MG;3056
MG;8530
MG;464
MG;3789
MG;473
MG;1243
MG;674
MG;384
MG;711
MG;424
MG;443
MG;634
MG;254
MG;146
MG;3461
MG;206
MG;116
MG;640
MG;561
MG;160
MG;70
MG;83
MG;1581
MG;14863
MG;156
MG;431
MG;1809
MG;249
MG;706
MG;12321
MG;1018
MG;4743
MG;843
MG;254
MG;83
MG;664
MG;1297
MG;1085
MG;259
MG;1400
MG;601
MG;1528
MG;454
MG;481
MG;3534
MG;326
MG;7607
MG;374
MG;1778
MG;771
MG;196
MG;223672
MG;2535
MG;830
MG;145
MG;167
MG;337
MG;28725
MG;111
MG;1375
MG;118
MG;3944
MG;176
MG;2174
MG;4068
MG;459
MG;601
MG;213
MG;606
MG;910
MG;940
MG;380
MG;459
MG;56
MG;1433
MG;1550
MG;226
MG;203
MG;1184
MG;1005
MG;218
MG;777
MG;3426
MG;774
MG;305
MG;362
MG;1644
MG;1247
MG;387
MG;628
MG;226
MG;637
MG;490
MG;143
MG;971
MG;1887
MG;136
MG;372
MG;813
MG;91
MG;2960
MG;3418
MG;657
MG;216
MG;1583
MG;1575
MG;1120
MG;210
MG;6338
MG;835
MG;890
MG;1080
MG;1938
MG;544
MG;237
MG;986
MG;640
MG;199
MG;346
MG;152
MG;2001
MG;726
MG;702
MG;1961
MG;373
MG;1007
MG;835
MG;852
MG;984
MG;120
MG;1702
MG;3469
MG;8626
MG;508
MG;517
MG;2282
MG;96
MG;466
MG;702
MG;845
MG;994
MG;2735
MG;1208
MG;1909
MG;1053
MG;336
MG;188
MG;183
MG;73
MG;119
MG;1210
MG;7038
MG;483
MG;99
MG;495
MG;191
MG;1459
MG;21
MG;680
MG;935
MG;213
MG;619
MG;175
MG;803
MG;308
MG;425
MG;454
MG;390
MG;3670
MG;511
MG;322
MG;352
MG;244
MG;468
MG;200
MG;3946
MG;144
MG;345
MG;2778
MG;290
MG;1061
MG;909
MG;101
MG;471
MG;1007
MG;7320
MG;96
MG;553
MG;13070
MG;1569
MG;52
MG;37399
MG;632
MG;604
MG;349
MG;163
MG;1113
MG;424
MG;1972
MG;12785
MG;232
MG;196
MG;289
MG;156
MG;416
MG;598
MG;279
MG;81
MG;221
MG;1284
MG;286
MG;423
MG;481
MG;318
MG;252
MG;1121
MG;445
MG;572
MG;4503
MG;466
MG;429
MG;369
MG;1282
MG;361
MG;349
MG;121
MG;3638
MG;115
MG;344
MG;274
MG;1296
MG;274
MG;302
MG;14389
MG;335
MG;466
MG;433
MG;245
MG;510
MG;608
MG;361
MG;178
MG;893
MG;1044
MG;239
MG;1095
MG;146
MG;99
MG;88
MG;1055
MG;2390
MG;706
MG;199
MG;387
MG;653
MG;1258
MG;2334
MG;2346
MG;1331
MG;352
MG;1006
MG;157
MG;56
MG;420
MG;1158
MG;294
MG;7694
MG;87
MG;191
MG;176
MG;485
MG;954
MG;117
MG;431
MG;1050
MG;288
MG;8558
MG;228
MG;234
MG;120
MG;125
MG;152
MG;865
MG;215
MG;529
MG;667
MG;124
MG;1714
MG;285
MG;113
MG;6614
MG;209
MG;481
MG;281
MG;147
MG;208
MG;279
MG;257
MG;355
MG;556
MG;26999
MG;591
MG;85
MG;2699
MG;904
