estado;casos
Ceará;4663
Ceará;3315
Ceará;3807
Ceará;8082
Ceará;5969
Ceará;2265
Ceará;5180
Ceará;2195
Ceará;1588
Ceará;2344
Ceará;1327
Ceará;2162
Ceará;1680
Ceará;5798
Ceará;741
Ceará;1165
Ceará;21025
Ceará;3391
Ceará;1431
Ceará;1023
Ceará;1851
Ceará;2508
Ceará;12032
Ceará;15768
Ceará;972
Ceará;3475
Ceará;743
Ceará;802
Ceará;9204
Ceará;2510
Ceará;1382
Ceará;243740
Ceará;2032
Ceará;2920
Ceará;530
Ceará;1199
Ceará;3093
Ceará;420
Ceará;1664
Ceará;1534
Ceará;2310
Ceará;838
Ceará;2551
Ceará;7233
Ceará;1150
Ceará;1500
Ceará;1680
Ceará;2538
Ceará;6639
Ceará;9830
Ceará;1781
Ceará;1217
Ceará;1091
Ceará;4426
Ceará;2551
Ceará;2335
Ceará;1123
Ceará;1339
Ceará;4403
Ceará;3128
Ceará;10149
Ceará;2083
Ceará;3187
Ceará;1995
Ceará;1840
Ceará;974
Ceará;4186
Ceará;3498
Ceará;1651
Ceará;728
Ceará;2623
Ceará;26402
Ceará;1570
Ceará;2632
Ceará;6468
Ceará;1306
Ceará;20691
Ceará;11474
Ceará;1847
Ceará;1419
Ceará;2315
Ceará;3834
Ceará;1670
Ceará;2849
Ceará;1121
Ceará;1245
Ceará;2070
Ceará;3705
Ceará;1875
Ceará;8197
Ceará;1872
Ceará;1401
Ceará;1793
Ceará;1045
Ceará;1193
Ceará;3172
Ceará;1600
Ceará;1980
Ceará;3275
Ceará;5569
Ceará;5992
Ceará;1350
Ceará;604
Ceará;1340
Ceará;945
Ceará;4586
Ceará;2608
Ceará;1362
Ceará;984
Ceará;946
Ceará;724
Ceará;3625
Ceará;2069
Ceará;2058
Ceará;1690
Ceará;978
Ceará;765
Ceará;1501
Ceará;640
Ceará;707
Ceará;1560
Ceará;8859
Ceará;2251
Ceará;8763
Ceará;3651
Ceará;4774
Ceará;2617
Ceará;10071
Ceará;950
Ceará;1103
Ceará;5189
Ceará;2265
Ceará;1170
Ceará;3560
Ceará;6658
Ceará;739
Ceará;1267
Ceará;1971
Ceará;1133
Ceará;26238
Ceará;1418
Ceará;4909
Ceará;2072
Ceará;485
Ceará;7966
Ceará;1664
Ceará;8876
Ceará;1928
Ceará;1362
Ceará;1782
Ceará;437
Ceará;878
Ceará;1816
Ceará;1406
Ceará;2231
Ceará;3010
Ceará;4652
Distrito Federal;697512
Espírito Santo;3361
Espírito Santo;803
Espírito Santo;1883
Espírito Santo;2274
Espírito Santo;2331
Espírito Santo;681
Espírito Santo;4630
Espírito Santo;789
Espírito Santo;15299
Espírito Santo;1452
Espírito Santo;3386
Espírito Santo;4626
Espírito Santo;1520
Espírito Santo;1029
Espírito Santo;1594
Espírito Santo;25693
Espírito Santo;38609
Espírito Santo;5739
Espírito Santo;18782
Espírito Santo;1687
Espírito Santo;1371
Espírito Santo;385
Espírito Santo;3660
Espírito Santo;687
Espírito Santo;3037
Espírito Santo;2511
Espírito Santo;1895
Espírito Santo;2611
Espírito Santo;15201
Espírito Santo;3389
Espírito Santo;1665
Espírito Santo;424
Espírito Santo;2528
Espírito Santo;1498
Espírito Santo;1581
Espírito Santo;4240
Espírito Santo;1387
Espírito Santo;2595
Espírito Santo;3519
Espírito Santo;1242
Espírito Santo;2541
Espírito Santo;800
Espírito Santo;24757
Espírito Santo;897
Espírito Santo;6566
Espírito Santo;3175
Espírito Santo;1985
Espírito Santo;3001
Espírito Santo;1571
Espírito Santo;606
Espírito Santo;2717
Espírito Santo;1868
Espírito Santo;5355
Espírito Santo;2363
Espírito Santo;2154
